Research ID,Description,Learning Outcomes,Raw Skill,Level,Knowledge Required,Task Abilities,Skill Tag,Correlation Coefficient
16801912075297.0,"This course is for the non-science major. It is an introductory survey of physical geology, historical geology, oceanography, meteorology, and astronomy. It relates the interaction of the earth sciences to the physical world.","['Explain the current theories concerning the origin of the Universe and of the Solar System.', 'Explain the place of Earth in the Solar System and its relationships with other objects in the Solar System.', 'Relate the origin and evolution of Earth’s internal structures to its resulting geologic systems, including Earth materials and plate tectonic activities.', 'Explain the operation of Earth’s geologic systems and the interactions among the atmosphere, the geosphere, and the hydrosphere, including meteorology and oceanography.', 'Explain the history of the Earth including the evolution of earth systems and life forms.', 'Classify rocks and minerals based on chemical composition, physical properties, and origin.', 'Apply knowledge of topographic maps, diagrams, and/or photographs to identify landforms and explain the processes that created them.', 'Differentiate the types of plate boundaries, explain the processes that occur at each and identify associated structural features on maps, block diagrams and cross sections.', 'Apply relative and numerical age-dating techniques to construct geologic histories.', 'Measure atmospheric processes that affect weather and climate.', 'Describe the composition and motion of ocean water and analyze the factors controlling both.', 'Compare properties and motions of objects in the solar system.', 'Demonstrate the collection, analysis, and reporting of data.', 'Critical Thinking Skills - to include creative thinking, innovation, inquiry, and analysis, evaluation and synthesis of information', 'Communication Skills - to include effective development, interpretation, and expression of ideas through written, oral, and visual communication', 'Empirical and Quantitative Skills - to include the manipulation and analysis of numerical data or observable facts resulting in informed conclusions', 'Teamwork - to include the ability to consider different points of view and to work effectively with others to support a shared purpose or goal', 'Personal Responsibility - to include the ability to connect choices, actions, and consequences to ethical decision-making', 'Social Responsibility - to include intercultural competence, knowledge of civic responsibility, and the ability to engage effectively in regional, national, and global communities']",Database Programming,4.0,"['database access', 'Oracle DBMS']","['query writing', 'data analysis', 'data integrity', '']",ESCO.3701,0.8997874520748153
16801912075297.0,"This course is for the non-science major. It is an introductory survey of physical geology, historical geology, oceanography, meteorology, and astronomy. It relates the interaction of the earth sciences to the physical world.","['Explain the current theories concerning the origin of the Universe and of the Solar System.', 'Explain the place of Earth in the Solar System and its relationships with other objects in the Solar System.', 'Relate the origin and evolution of Earth’s internal structures to its resulting geologic systems, including Earth materials and plate tectonic activities.', 'Explain the operation of Earth’s geologic systems and the interactions among the atmosphere, the geosphere, and the hydrosphere, including meteorology and oceanography.', 'Explain the history of the Earth including the evolution of earth systems and life forms.', 'Classify rocks and minerals based on chemical composition, physical properties, and origin.', 'Apply knowledge of topographic maps, diagrams, and/or photographs to identify landforms and explain the processes that created them.', 'Differentiate the types of plate boundaries, explain the processes that occur at each and identify associated structural features on maps, block diagrams and cross sections.', 'Apply relative and numerical age-dating techniques to construct geologic histories.', 'Measure atmospheric processes that affect weather and climate.', 'Describe the composition and motion of ocean water and analyze the factors controlling both.', 'Compare properties and motions of objects in the solar system.', 'Demonstrate the collection, analysis, and reporting of data.', 'Critical Thinking Skills - to include creative thinking, innovation, inquiry, and analysis, evaluation and synthesis of information', 'Communication Skills - to include effective development, interpretation, and expression of ideas through written, oral, and visual communication', 'Empirical and Quantitative Skills - to include the manipulation and analysis of numerical data or observable facts resulting in informed conclusions', 'Teamwork - to include the ability to consider different points of view and to work effectively with others to support a shared purpose or goal', 'Personal Responsibility - to include the ability to connect choices, actions, and consequences to ethical decision-making', 'Social Responsibility - to include intercultural competence, knowledge of civic responsibility, and the ability to engage effectively in regional, national, and global communities']",Database Programming,4.0,"['database access', 'Oracle DBMS']","['query writing', 'data analysis', 'data integrity', '']",ESCO.11849,0.8729733834313795
16801912075297.0,"This course is for the non-science major. It is an introductory survey of physical geology, historical geology, oceanography, meteorology, and astronomy. It relates the interaction of the earth sciences to the physical world.","['Explain the current theories concerning the origin of the Universe and of the Solar System.', 'Explain the place of Earth in the Solar System and its relationships with other objects in the Solar System.', 'Relate the origin and evolution of Earth’s internal structures to its resulting geologic systems, including Earth materials and plate tectonic activities.', 'Explain the operation of Earth’s geologic systems and the interactions among the atmosphere, the geosphere, and the hydrosphere, including meteorology and oceanography.', 'Explain the history of the Earth including the evolution of earth systems and life forms.', 'Classify rocks and minerals based on chemical composition, physical properties, and origin.', 'Apply knowledge of topographic maps, diagrams, and/or photographs to identify landforms and explain the processes that created them.', 'Differentiate the types of plate boundaries, explain the processes that occur at each and identify associated structural features on maps, block diagrams and cross sections.', 'Apply relative and numerical age-dating techniques to construct geologic histories.', 'Measure atmospheric processes that affect weather and climate.', 'Describe the composition and motion of ocean water and analyze the factors controlling both.', 'Compare properties and motions of objects in the solar system.', 'Demonstrate the collection, analysis, and reporting of data.', 'Critical Thinking Skills - to include creative thinking, innovation, inquiry, and analysis, evaluation and synthesis of information', 'Communication Skills - to include effective development, interpretation, and expression of ideas through written, oral, and visual communication', 'Empirical and Quantitative Skills - to include the manipulation and analysis of numerical data or observable facts resulting in informed conclusions', 'Teamwork - to include the ability to consider different points of view and to work effectively with others to support a shared purpose or goal', 'Personal Responsibility - to include the ability to connect choices, actions, and consequences to ethical decision-making', 'Social Responsibility - to include intercultural competence, knowledge of civic responsibility, and the ability to engage effectively in regional, national, and global communities']",Database Programming,4.0,"['database access', 'Oracle DBMS']","['query writing', 'data analysis', 'data integrity', '']",ESCO.12094,0.879206665588662
7602092128830.0,"Collection, analysis, presentation and interpretation of data, and probability. Analysis includes descriptive statistics, correlation and regression, confidence intervals and hypothesis testing. Use of appropriate technology is recommended.","['Explain the use of data collection and statistics as tools to reach reasonable conclusions.', 'Recognize, examine and interpret the basic principles of describing and presenting data.', 'Compute and interpret empirical and theoretical probabilities using the rules of probabilities and combinatorics.', 'Explain the role of probability in statistics.', 'Examine, analyze and compare various sampling distributions for both discrete and continuous random variables.', 'Describe and compute confidence intervals.', 'Solve linear regression and correlation problems.', 'Perform hypothesis testing using statistical methods.', 'Critical Thinking Skills - to include creative thinking, innovation, inquiry, and analysis, evaluation and synthesis of information', 'Communication Skills - to include effective development, interpretation, and expression of ideas through written, oral, and visual communication', 'Empirical and Quantitative Skills - to include the manipulation and analysis of numerical data or observable facts resulting in informed conclusions', 'Teamwork - to include the ability to consider different points of view and to work effectively with others to support a shared purpose or goal', 'Personal Responsibility - to include the ability to connect choices, actions, and consequences to ethical decision-making', 'Social Responsibility - to include intercultural competence, knowledge of civic responsibility, and the ability to engage effectively in regional, national, and global communities']",Documentation,3.0,"['technical writing', 'documentation standards', 'audience analysis']","['report writing', 'technical documentation', 'process documentation']",ESCO.7996,0.859626962917411
7017976581425.0,A computer-aided modeling course. Development of three-dimensional drawings and models from engineering sketches and orthographic drawings and utilization of threedimensional models in design work,['generate pictorial and orthographic drawings.'],CAD Drafting,4.0,"['CAD Software', 'Drawing Techniques', 'Piping Symbols']","['Piping Drawing Creation', 'Plan Modification', 'Dimensioning.']",ESCO.8917,0.8632600254341196
14139032347790.0,"Topics include collection, analysis, presentation and interpretation of data, and probability.  Analysis includes descriptive statistics, correlation and regression, confidence intervals and hypothesis testing.","['Explain the use of data collection and statistics as tools to reach reasonable conclusions.', 'Recognize, examine and interpret the basic principles of describing and presenting data.', 'Compute and interpret empirical and theoretical probabilities using the rules of probabilities and combinatorics.', 'Explain the role of probability in statistics.', 'Examine, analyze and compare various sampling distributions for both discrete and continuous random variables.', 'Describe and compute confidence intervals.', 'Solve linear regression and correlation problems.', 'Perform hypothesis testing using statistical methods.', 'students consider different points of view and work effectively with others to support a shared purpose or goal.']",Terminology,2.0,"['industry jargon', 'key concepts', 'definitions']","['define terms', 'explain concepts', 'use appropriately.']",ESCO.9955,0.894146915417411
14448269999671.0,"Cost analysis is a graduate level presentation of managerial accounting topics. Through the use of case analysis, the student will apply methods and techniques of cost and managerial accounting to business decision situations. A major objective is an appreciation of the subjective elements in these situations as well as application of quantitative methods presented in the text.","['Students will work in groups to prepare and present the cases and the company analyses used in this course.', 'Groups will prepare and submit a grammatically correct written report for each case and for each company.', 'Students will demonstrate problem solving and decision-making ability as they synthesize their information into a coherent and defendable case/company analysis.', 'Recognize and to define different concepts of cost', 'Apply different methods of analyzing and accounting for product and service costs', 'Understand the relationship between cost, volume, and profit and apply it to planning and budgeting', 'Measure and evaluate the differences between budgeted and actual performance', 'Determine the costs relevant to specific decision situations.']",Data Structures,4.0,"['graph algorithms. Task Abilities: program implementation', 'data organization', 'algorithm analysis.']","['program implementation', 'data organization', 'algorithm analysis.']",ESCO.3226,0.9077784143384414
14448269999671.0,"Cost analysis is a graduate level presentation of managerial accounting topics. Through the use of case analysis, the student will apply methods and techniques of cost and managerial accounting to business decision situations. A major objective is an appreciation of the subjective elements in these situations as well as application of quantitative methods presented in the text.","['Students will work in groups to prepare and present the cases and the company analyses used in this course.', 'Groups will prepare and submit a grammatically correct written report for each case and for each company.', 'Students will demonstrate problem solving and decision-making ability as they synthesize their information into a coherent and defendable case/company analysis.', 'Recognize and to define different concepts of cost', 'Apply different methods of analyzing and accounting for product and service costs', 'Understand the relationship between cost, volume, and profit and apply it to planning and budgeting', 'Measure and evaluate the differences between budgeted and actual performance', 'Determine the costs relevant to specific decision situations.']",Data Structures,4.0,"['graph algorithms. Task Abilities: program implementation', 'data organization', 'algorithm analysis.']","['program implementation', 'data organization', 'algorithm analysis.']",ESCO.3637,0.944065931916005
14448269999671.0,"Cost analysis is a graduate level presentation of managerial accounting topics. Through the use of case analysis, the student will apply methods and techniques of cost and managerial accounting to business decision situations. A major objective is an appreciation of the subjective elements in these situations as well as application of quantitative methods presented in the text.","['Students will work in groups to prepare and present the cases and the company analyses used in this course.', 'Groups will prepare and submit a grammatically correct written report for each case and for each company.', 'Students will demonstrate problem solving and decision-making ability as they synthesize their information into a coherent and defendable case/company analysis.', 'Recognize and to define different concepts of cost', 'Apply different methods of analyzing and accounting for product and service costs', 'Understand the relationship between cost, volume, and profit and apply it to planning and budgeting', 'Measure and evaluate the differences between budgeted and actual performance', 'Determine the costs relevant to specific decision situations.']",Data Structures,4.0,"['graph algorithms. Task Abilities: program implementation', 'data organization', 'algorithm analysis.']","['program implementation', 'data organization', 'algorithm analysis.']",ESCO.12451,0.8775122081120114
15169824504327.0,"This course gives students an introduction to forecasting methods using R. It helps students learn about graphing time series, time series decomposition, time series features, using forecasting tools, time series regression models, exponential smoothing, ARIMA models, dynamic regression models, forecasting hierarchical and grouped time series, advanced forecasting methods, and practical forecasting issues.","['The students will demonstrate their critical thinking abilities by conducting analysis of time series data.', 'Communication skills. By engaging students in the analysis of time series data, this course aims to contribute to developing students’ ability to communicate their analyses in a professional manner.', 'Integrate knowledge across business disciplines.', 'The students will demonstrate their abilities in connecting choices, actions, and consequences that are related to economic reasoning and ethical decision-making when conducting analysis of time series data.', 'Learn about graphing time series data.', 'Learn about time series decomposition.', 'Learn about time series features.', 'Learn about forecasting tools.', 'Learn about time series regression models.', 'Learn about exponential smoothing.', 'Learn about exponential smoothing.', 'Learn about ARIMA models.', 'Learn about dynamic regression models.', 'Learn about forecasting hierarchical and grouped time series.', 'Learn about advanced forecasting methods.', 'Learn about practical forecasting issues.', 'Learn about R programing and applications to data modelling and forecasting.']",Algorithms,4.0,"['Big-O notation. Task Abilities: problem solution', 'code optimization', 'performance evaluation.']","['problem solution', 'code optimization', 'performance evaluation.']",ESCO.4644,0.891794271376243
16750372469213.0,"EDUC 1300 is a study of the research and theory in the psychology of learning, cognition, and motivation; factors that impact learning; and application of learning strategies. Theoretical models of strategic learning, cognition, and motivation serve as the conceptual basis for the introduction of college-level student academic strategies. In addition, the course focuses on numerous college, career, and life management topics necessary for students to make the most of their college investment.","['students will demonstrate creative thinking, innovation, inquiry, and analysis, evaluation and synthesis of information through researching career and project information, analyzing information, and synthesizing information to create a final product (essay and presentation).', 'students will demonstrate effective development, interpretation and expression of ideas through written, oral and visual communication on various assignments, the career research essay, and by creating and presenting a group project.', 'students will demonstrate the ability to consider different points of view and to work effectively with others to support a shared purpose or goal throughout the course in various activities, assignments, and the group presentation.', 'students will demonstrate the ability to connect choices, actions and consequences to ethical decision-making through weekly case studies and activities throughout the course.', 'Develop and use an academic/personal/professional action plan to include long-term goals, with detailed emphasis on time spent at HCCS.', 'Identify and use strategies to manage your time, energy, finances, and personal responsibilities.', 'Identify and use various services at HCCS.', 'Identify strategies to increase learning, motivation, memory, test-taking abilities, note-taking abilities, and reading comprehension.', 'Learn and practice essential skills of academic, career, and personal success.', 'Develop and use an academic/personal/professional action plan to include long-term goals, with detailed emphasis on time spent at HCCS.', 'Create and prioritize short-term and long-term goals related to your academic/personal/professional development at HCCS.', 'Use inventories or assessments to identify career interests, values, and abilities.', 'Examine various career options and use available resources (e.g. career center, college library, etc.) to research and analyze information pertaining to career options.', 'Select an academic/workforce pathway and select a degree plan.', 'Construct and use an academic plan to achieve career goals and select classes for subsequent semesters.', 'Learn and demonstrate etiquette appropriate for transitioning from college to sustained employment.', 'Practice the strategies of collaborative learning and team building.', 'Identify and use strategies to manage your time, energy, finances, and personal responsibilities.', 'Through careful time analysis, determine and practice strategies to manage your time.', 'Develop and follow a financial plan to support your academic goals.', 'Evaluate and use strategies to balance academic and personal responsibilities.', 'Identify and use various services at HCCS.', 'Discuss your educational/career plans with an advisor or appropriate personnel at HCCS.', 'Use HCCS websites and publications (especially the college catalog) to locate pertinent college information.', 'Identify and utilize tutoring services provided on-campus or online.', 'Identify and utilize campus resources.', 'Identify strategies to increase learning, motivation, memory, test-taking abilities, note-taking abilities, and reading comprehension.', 'Identify personal learning styles and develop effective study skills/learning strategies based on individual results.', 'Identify personal strengths and weaknesses to develop successful strategies.', 'Apply knowledge of learning to adapt to various classroom environments.', 'Attend a library orientation/instruction session to access resources and technologies available on campus and online.', 'Practice information literacy skill building by utilizing library sources and technology.', 'Participate in experiential learning activities such as those linked to career selection and/or community service.', 'Understand and apply strategies to improve memory.', 'Learn and use strategies for effective note-taking, reading, and test-taking.', 'Understand how grit, growth mindsets, and motivation impact learning.', 'Learn and practice essential skills of academic, career, and personal success.', 'Use oral, written, and visual communication (e.g. PowerPoint) to express oneself effectively.', 'Use social networking and electronic communications appropriately as defined by the rules of netiquette.', 'Learn what constitutes academic dishonesty and plagiarism.', 'Learn and practice critical thinking and problem solving.', 'Construct a plan to promote social and personal development (e.g. physical and mental wellness plans, volunteer/service learning, participate in co-curricular activities).']",Data Analysis,4.0,"['[statistical methods', 'data interpretation', 'probability rules]']","['[data visualization', 'hypothesis testing', 'regression analysis].']",ESCO.3226,0.907012446604044
16750372469213.0,"EDUC 1300 is a study of the research and theory in the psychology of learning, cognition, and motivation; factors that impact learning; and application of learning strategies. Theoretical models of strategic learning, cognition, and motivation serve as the conceptual basis for the introduction of college-level student academic strategies. In addition, the course focuses on numerous college, career, and life management topics necessary for students to make the most of their college investment.","['students will demonstrate creative thinking, innovation, inquiry, and analysis, evaluation and synthesis of information through researching career and project information, analyzing information, and synthesizing information to create a final product (essay and presentation).', 'students will demonstrate effective development, interpretation and expression of ideas through written, oral and visual communication on various assignments, the career research essay, and by creating and presenting a group project.', 'students will demonstrate the ability to consider different points of view and to work effectively with others to support a shared purpose or goal throughout the course in various activities, assignments, and the group presentation.', 'students will demonstrate the ability to connect choices, actions and consequences to ethical decision-making through weekly case studies and activities throughout the course.', 'Develop and use an academic/personal/professional action plan to include long-term goals, with detailed emphasis on time spent at HCCS.', 'Identify and use strategies to manage your time, energy, finances, and personal responsibilities.', 'Identify and use various services at HCCS.', 'Identify strategies to increase learning, motivation, memory, test-taking abilities, note-taking abilities, and reading comprehension.', 'Learn and practice essential skills of academic, career, and personal success.', 'Develop and use an academic/personal/professional action plan to include long-term goals, with detailed emphasis on time spent at HCCS.', 'Create and prioritize short-term and long-term goals related to your academic/personal/professional development at HCCS.', 'Use inventories or assessments to identify career interests, values, and abilities.', 'Examine various career options and use available resources (e.g. career center, college library, etc.) to research and analyze information pertaining to career options.', 'Select an academic/workforce pathway and select a degree plan.', 'Construct and use an academic plan to achieve career goals and select classes for subsequent semesters.', 'Learn and demonstrate etiquette appropriate for transitioning from college to sustained employment.', 'Practice the strategies of collaborative learning and team building.', 'Identify and use strategies to manage your time, energy, finances, and personal responsibilities.', 'Through careful time analysis, determine and practice strategies to manage your time.', 'Develop and follow a financial plan to support your academic goals.', 'Evaluate and use strategies to balance academic and personal responsibilities.', 'Identify and use various services at HCCS.', 'Discuss your educational/career plans with an advisor or appropriate personnel at HCCS.', 'Use HCCS websites and publications (especially the college catalog) to locate pertinent college information.', 'Identify and utilize tutoring services provided on-campus or online.', 'Identify and utilize campus resources.', 'Identify strategies to increase learning, motivation, memory, test-taking abilities, note-taking abilities, and reading comprehension.', 'Identify personal learning styles and develop effective study skills/learning strategies based on individual results.', 'Identify personal strengths and weaknesses to develop successful strategies.', 'Apply knowledge of learning to adapt to various classroom environments.', 'Attend a library orientation/instruction session to access resources and technologies available on campus and online.', 'Practice information literacy skill building by utilizing library sources and technology.', 'Participate in experiential learning activities such as those linked to career selection and/or community service.', 'Understand and apply strategies to improve memory.', 'Learn and use strategies for effective note-taking, reading, and test-taking.', 'Understand how grit, growth mindsets, and motivation impact learning.', 'Learn and practice essential skills of academic, career, and personal success.', 'Use oral, written, and visual communication (e.g. PowerPoint) to express oneself effectively.', 'Use social networking and electronic communications appropriately as defined by the rules of netiquette.', 'Learn what constitutes academic dishonesty and plagiarism.', 'Learn and practice critical thinking and problem solving.', 'Construct a plan to promote social and personal development (e.g. physical and mental wellness plans, volunteer/service learning, participate in co-curricular activities).']",Data Analysis,4.0,"['[statistical methods', 'data interpretation', 'probability rules]']","['[data visualization', 'hypothesis testing', 'regression analysis].']",ESCO.3637,0.9254210007226864
